"","dsikfit.cluster","name","DSI_num"
"X1",6,"Trump immigration plan mirrors post-9/11 policy",1
"X2",6,"Trump 'arms race' comment sows more doubt on nuclear policy",2
"X3",5,"Donald J. Trump Contract with the American Voter",3
"X4",6,"Tax cuts are coming, but maybe not as big as Trump promised",4
"X5",6,"Trump's First 100 Days: Science Education and Schools",5
"X6",3,"Trump say he'll dissolve foundation",6
"X7",1,"Trump Puts Auto Makers, Trade Policy in Spotlight",7
"X8",6,"Trumps ambitious 100-day agenda staring at political reality",8
"X9",5,"The Right Way to Rebuild America's Infrastructure",9
"X10",2,"Trump Eyes Two Seats on the Supreme Court",10
"X11",3,"Russia-US row: Trump praises Putin amid hacking expulsions",11
"X12",6,"GOP leaders face crunch in Trump's first 100 days",12
"X13",7,"Donald Trump's face-off with spy chiefs on hacking comes to a head",13
"X14",4,"Donald Trump's Conflicts of Interest: A Crib Sheet",14
"X15",5,"Trump Insists Mexico Will Pay for Wall After U.S. Begins Work",15
"X16",1,"Donald Trump's first 100 days: A breakdown of his plan",16
"X17",7,"Trump Opposition sets up blue-state headquarters",17
"X18",5,"House GOP, Trump team hatch border wall plan",18
"X19",3,"Here's where Donald Trump stands on energy issues",19
"X20",6,"Trump's First 100 Days: Climate and Energy",20
"X21",2,"China Takes the Climate Spotlight as U.S. Heads for Exit",21
"X22",7,"Trump acknowledges Russia role in U.S. election hacking: aide",22
"X23",3,"Trump invokes 'fake news' at press conference",23
"X24",1,"Energy independence, not climate change, becomes priority under Trump order",24
"X25",4,"Daily Press Briefing by Press Secretary Sean Spicer",25
"X26",7,"Trump Russia dossier key claim 'verified'",26
"X27",1,"Executive Order Protecting The Nation From Foreign Terrorist Entry Into The United States",27
"X28",6,"Trump issues executive order rolling back Obama climate change policies",28
"X29",6,"Trump expected to sign bill allowing internet providers to sell user web data",29
"X30",6,"Exclusive - Trump border 'wall' to cost $21.6 billion, take 3.5 years to build: internal report",30
"X31",2,"To reduce trade deficit,?White House wants partners to buy American",31
"X32",1,"The President Changed.? So Has Small Businesses' Confidence.",32
"X33",1,"Trump's budget overhaul: domestic programs slashed to fund military",33
"X34",1,"Trump tweets on ""so-called judge"" after travel ban stay",34
"X35",5,"Trump can't stop the Freedom Caucus. He has GOP gerrymandering to blame",35
"X36",6,"The Real-Life Consequences of the Federal Hiring Freeze?",36
"X37",1,"South Korea Seeks to Dispel Misunderstanding of FTA with U.S.",37
"X38",1,"Tillerson on North Korea: Military action is 'an option'",38
"X39",2,"Home stretch for Trump?s Supreme Court nominee could forever alter the Senate",39
"X40",3,"In Past Failures, A Possible Roadmap For Trump",40
"X41",7,"Was Trump's Paris Exit Good Politics?",41
"X42",2,"China's Trump Honeymoon: Unexpected, and at Risk of Ending",42
"X43",5,"The surprising GOP holdout on the Senate's health bill",43
"X44",1,"Trump's lawyers make final plea to Supreme Court on travel ban, with eye toward Justice Kennedy",44
"X45",7,"Why Is Trump Causing Chaos In Washington But Not In The Stock Market?",45
"X46",2,"On immigration, Trump has plenty to show in 100 days",46
"X47",3,"Trump Reverses Pieces of Obama-Era Engagement With Cuba",47
"X48",1,"Trump to China: Thanks for trying with North Korea",48
"X49",2,"Why The GOP Is So Hell-Bent On Passing An Unpopular Health Care Bill",49
